employee_id,institution_id,period_year,period_quarter,performance_score,relational_score,divergence_score,self_count,manager_count,peer_count,sub_count,self_overall,manager_overall,peer_overall,sub_overall,pdi_institution,is_high_perf,is_high_rel,alignment,alignment_score
E001,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x01\x00\x00\x00\x00\x00\x00\x00',1.9444444444444444,2.222222222222222,0.0,1,0,2,3,,,,,0.16291561975888486,False,False,Aligned,1
E001,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x02\x00\x00\x00\x00\x00\x00\x00',2.2444444444444445,2.4166666666666665,0.0,1,0,2,3,,,,,0.16291561975888486,False,False,Aligned,1
E002,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x01\x00\x00\x00\x00\x00\x00\x00',4.599999999999999,5.0,0.0,1,1,2,0,,,,,0.16291561975888486,True,True,Aligned,1
E002,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x02\x00\x00\x00\x00\x00\x00\x00',4.666666666666666,5.0,0.0,1,1,2,0,,,,,0.16291561975888486,True,True,Aligned,1
E003,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x01\x00\x00\x00\x00\x00\x00\x00',3.033333333333333,2.4166666666666665,0.0,1,2,2,0,,,,,0.16291561975888486,False,False,Aligned,1
E003,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x02\x00\x00\x00\x00\x00\x00\x00',3.1666666666666665,2.75,0.0,1,2,2,0,,,,,0.16291561975888486,False,False,Aligned,1
E004,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x01\x00\x00\x00\x00\x00\x00\x00',3.6999999999999997,3.8333333333333335,0.0,1,2,2,0,,,,,0.16291561975888486,False,True,Anti-Aligned,0
E004,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x02\x00\x00\x00\x00\x00\x00\x00',3.8666666666666663,3.75,0.0,1,2,2,0,,,,,0.16291561975888486,True,False,Anti-Aligned,0
E005,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x01\x00\x00\x00\x00\x00\x00\x00',3.6999999999999997,4.0,0.0,1,1,2,0,,,,,0.16291561975888486,False,True,Anti-Aligned,0
E005,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x02\x00\x00\x00\x00\x00\x00\x00',3.7333333333333334,4.0,0.0,1,1,2,0,,,,,0.16291561975888486,False,True,Anti-Aligned,0
E006,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x01\x00\x00\x00\x00\x00\x00\x00',3.4999999999999996,3.5833333333333335,0.0,1,2,2,0,,,,,0.16291561975888486,False,False,Aligned,1
E006,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x02\x00\x00\x00\x00\x00\x00\x00',3.6666666666666665,3.9166666666666665,0.0,1,2,2,0,,,,,0.16291561975888486,False,True,Anti-Aligned,0
E007,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x01\x00\x00\x00\x00\x00\x00\x00',3.3000000000000003,3.5,0.0,1,2,2,0,,,,,0.16291561975888486,False,False,Aligned,1
E007,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x02\x00\x00\x00\x00\x00\x00\x00',3.4000000000000004,3.6666666666666665,0.0,1,2,2,0,,,,,0.16291561975888486,False,False,Aligned,1
E008,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x01\x00\x00\x00\x00\x00\x00\x00',4.566666666666666,4.5,0.0,1,1,2,0,,,,,0.16291561975888486,True,True,Aligned,1
E008,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x02\x00\x00\x00\x00\x00\x00\x00',4.699999999999999,4.75,0.0,1,1,2,0,,,,,0.16291561975888486,True,True,Aligned,1
E009,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x01\x00\x00\x00\x00\x00\x00\x00',2.7,3.5,0.0,1,2,2,0,,,,,0.16291561975888486,False,False,Aligned,1
E009,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x02\x00\x00\x00\x00\x00\x00\x00',2.7666666666666666,3.8333333333333335,0.0,1,2,2,0,,,,,0.16291561975888486,False,True,Anti-Aligned,0
E010,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x01\x00\x00\x00\x00\x00\x00\x00',3.2333333333333334,3.9166666666666665,0.0,1,2,2,0,,,,,0.16291561975888486,False,True,Anti-Aligned,0
E010,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x02\x00\x00\x00\x00\x00\x00\x00',3.433333333333333,4.166666666666667,0.0,1,2,2,0,,,,,0.16291561975888486,False,True,Anti-Aligned,0
E011,I01,b'\xe8\x07\x00\x00\x00\x00\x00\x00',b'\x01\x00\x00\x00\x00\x00\x00\x00',3.333333333333334,2.6666666666666665,0.0,1,0,2,3,,,,,0.16291561975888486,False,False,Aligned,1
